0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1.078074,-1.103005,-1.0858388,-1.0942855,-1.1162883,-1.1958039,-1.0997546,-1.0049584,-1.1126325,-1.0667144,-1.1524299,-1.1036537,-1.1165836,-1.1070044,-1.1164688,-1.161532,-1.1732376,-1.1772285
-1.4872174,-1.4648126,-1.4301968,-1.5671284,-1.5802892,-1.6215518,-1.5172852,-1.4294769,-1.5930437,-1.4946291,-1.5893962,-1.4979358,-1.5828359,-1.5164937,-1.6818291,-1.469724,-1.6227487,-1.7338624
-1.916631,-2.0092068,-1.9254798,-1.9635143,-2.053139,-2.0690417,-2.0115337,-1.9274039,-1.921799,-1.9338334,-1.9343841,-1.9454834,-2.1855998,-2.0606189,-2.103441,-2.0021338,-2.0228825,-1.9792151
-2.5294204,-2.69628,-2.7872734,-2.7016158,-2.6452723,-2.688031,-2.535653,-2.5435877,-2.5683575,-2.4738455,-2.50126,-2.677588,-2.7441635,-2.7749767,-2.635326,-2.413435,-2.7700703,-2.5953434
-3.3348274,-3.3774679,-3.2303576,-3.4345114,-3.1648679,-3.265255,-3.0719328,-3.277327,-2.987588,-2.9924679,-3.1713555,-3.3364015,-3.2263758,-3.3081424,-3.3087425,-2.9909456,-3.4347193,-3.3484182
-3.90987,-4.1249504,-3.966888,-4.0784254,-4.1576257,-4.040346,-3.57656,-3.826972,-3.5982342,-3.6693125,-3.7613895,-3.9325447,-4.104317,-3.8064687,-4.025279,-3.2603047,-4.0518475,-4.1847825
-4.658194,-5.0091696,-5.093893,-4.995546,-4.663549,-4.6014857,-4.285826,-4.4690375,-4.3772554,-4.895024,-4.3176203,-4.779709,-4.6883183,-4.9607005,-4.5686026,-3.7801156,-5.093876,-4.9186087
-5.618392,-5.919994,-5.758716,-6.3899994,-5.5447035,-5.2905145,-5.263511,-5.51342,-5.372784,-5.650331,-5.389125,-5.629037,-5.4442506,-5.7439117,-5.0013275,-4.6853104,-5.835903,-5.580968
-6.80202,-6.6189914,-6.5928564,-7.1553984,-6.4888906,-6.288678,-6.195079,-6.70125,-6.2771697,-6.481129,-6.376671,-6.871899,-6.286795,-6.471543,-5.7391706,-5.126981,-6.7135005,-6.4686317
-8.1868,-7.7397137,-7.3382773,-8.264526,-7.3864822,-7.1358776,-7.6427507,-8.152996,-7.097013,-7.748937,-7.254103,-7.4135017,-7.4482536,-7.6411853,-6.6671247,-5.687326,-7.9758205,-7.119218
-9.490782,-9.027664,-8.782627,-9.418917,-9.112282,-8.102573,-9.160749,-9.249277,-8.052546,-8.818807,-8.505226,-8.167833,-8.774508,-8.930149,-7.5366735,-6.3909426,-8.964851,-8.545595
-11.113646,-9.683959,-10.07966,-10.822958,-10.148087,-9.576259,-9.95127,-10.700193,-9.234202,-9.898379,-9.510349,-8.938181,-10.3037815,-10.09433,-8.478292,-7.2633753,-10.1613035,-9.750496
-12.064766,-11.439747,-11.133838,-13.001349,-11.00132,-10.428865,-11.542741,-11.70191,-10.668984,-11.095211,-10.676084,-10.3793,-11.49297,-10.6473465,-9.6155815,-8.175117,-11.749323,-11.126635
-13.466064,-12.754492,-12.569801,-14.640448,-12.866974,-11.495203,-13.180226,-12.847859,-11.876727,-12.2372,-12.152262,-11.524546,-12.877532,-11.811537,-10.621164,-9.029567,-12.896777,-13.4994335
-14.682397,-14.329062,-13.8342705,-16.248028,-13.958149,-13.471632,-14.955098,-14.957832,-13.413089,-13.64097,-14.010998,-12.909594,-14.338531,-13.274279,-11.880465,-10.194246,-13.567846,-15.133236
-16.26397,-15.976448,-15.761673,-16.81655,-15.273165,-15.03798,-15.643012,-16.829296,-15.189047,-14.371763,-15.5774975,-14.530592,-15.584963,-14.419763,-13.577863,-10.896502,-15.4461775,-17.424835
