0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1.078074,-1.103005,-1.0858388,-1.0942855,-1.1162883,-1.1958039,-1.0997546,-1.0049584,-1.1126325,-1.0667144,-1.1524298,-1.1036537,-1.1165836,-1.1070044,-1.1164688,-1.161532,-1.1732376,-1.1772285
-1.4977838,-1.4929347,-1.4370408,-1.5655415,-1.5716462,-1.6154977,-1.4962748,-1.4358312,-1.5770427,-1.4879389,-1.5932231,-1.524573,-1.5329757,-1.5185649,-1.6433606,-1.4596585,-1.6034889,-1.6934214
-1.9163316,-1.9990892,-1.9068396,-1.9953573,-2.016066,-2.028179,-2.0329523,-1.943325,-1.9490435,-1.9512829,-1.9517112,-1.951441,-2.1326814,-2.0456088,-2.1037166,-2.0139809,-2.0320318,-1.9563051
-2.617693,-2.8002489,-2.6581273,-2.5933695,-2.651732,-2.6828032,-2.3749497,-2.4290786,-2.5523036,-2.741937,-2.616033,-2.857325,-2.701819,-2.7449055,-2.7592254,-2.6018138,-2.5962944,-2.606586
-3.3748686,-3.5664387,-3.0648608,-3.1416593,-3.3486567,-3.157498,-2.88236,-3.2137554,-2.979007,-3.1634398,-3.3609562,-3.4509592,-3.2744346,-3.1599927,-3.1598399,-3.0764344,-3.2043796,-3.1182046
-3.996183,-4.058397,-3.831061,-4.1056514,-4.448908,-3.7595527,-3.474215,-3.9962907,-3.631332,-3.564328,-3.8621976,-3.8901682,-4.0179296,-3.789616,-3.7210398,-3.7831635,-3.8942063,-3.8890429
-4.6573343,-4.8679366,-4.6794934,-5.0799456,-5.3373084,-4.2213697,-4.3937187,-4.500922,-4.1389937,-4.3710647,-4.5857515,-4.524968,-4.9085226,-4.0781603,-4.114459,-4.0761757,-4.677024,-4.5523987
-5.1865406,-5.747031,-5.6476307,-5.776447,-6.2455764,-5.111683,-5.480791,-5.160474,-4.9623327,-4.9030476,-5.1383133,-5.4652777,-5.610489,-5.0751677,-4.788213,-4.5647345,-5.591152,-5.5003214
-6.061769,-6.398628,-6.785457,-6.6586733,-7.3241477,-5.682866,-6.3526793,-6.311225,-5.482047,-5.2489004,-5.691938,-6.0796013,-6.617097,-5.824312,-5.4813085,-5.249052,-6.9546576,-6.395172
-6.384783,-7.4081054,-7.8065968,-7.300303,-8.348769,-6.3237305,-7.185144,-7.195815,-6.4880633,-6.032923,-6.5418854,-6.731032,-6.9631686,-6.706935,-6.3962116,-5.6109924,-7.8784285,-7.706641
-7.1156473,-8.316499,-8.688956,-8.004457,-9.591539,-6.7332754,-8.148436,-7.7267084,-8.067897,-6.958767,-7.65348,-7.4725227,-7.7792397,-7.274908,-6.949377,-5.9680724,-8.667051,-8.521198
-8.484124,-9.555969,-10.096998,-8.941144,-11.287407,-7.324187,-9.25019,-8.487938,-9.142652,-7.633786,-8.524096,-8.222794,-8.685678,-8.077022,-7.992304,-6.7106247,-9.224522,-9.666622
