0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.453125,0.328125,0.40625,0.46875,0.40625,0.40625,0.375,0.421875,0.40625,0.46875,0.5,0.34375,0.4375,0.40625,0.359375,0.390625,0.34375,0.40625
0.53125,0.46875,0.6875,0.703125,0.734375,0.59375,0.484375,0.859375,0.4375,0.546875,0.5,0.5625,0.46875,0.65625,0.421875,0.59375,0.515625,0.53125
0.75,0.53125,0.921875,0.5,1.109375,0.59375,1.0,1.046875,0.5625,1.0625,0.828125,0.90625,0.640625,0.765625,0.96875,0.9375,0.796875,0.875
1.265625,0.796875,1.09375,1.140625,1.671875,0.828125,1.109375,1.15625,1.0625,1.515625,1.453125,1.109375,0.953125,1.203125,1.421875,1.078125,1.09375,1.1875
1.703125,1.53125,1.5,1.703125,1.84375,1.28125,1.484375,1.59375,1.40625,2.25,2.046875,1.390625,1.515625,1.765625,1.765625,1.4375,1.578125,1.40625
2.515625,1.65625,1.921875,2.03125,2.5,2.078125,2.4375,2.015625,2.21875,2.65625,2.375,1.65625,2.109375,2.125,2.625,1.75,1.84375,2.375
2.625,2.515625,2.546875,2.390625,2.640625,2.109375,2.6875,2.5625,2.921875,2.8125,2.8125,2.453125,2.640625,2.4375,3.03125,2.578125,2.609375,2.828125
3.265625,2.578125,2.9375,3.1875,2.78125,2.75,3.328125,2.9375,3.046875,3.34375,3.25,3.203125,2.671875,3.21875,3.4375,3.1875,2.734375,2.984375
3.734375,3.140625,3.25,3.125,3.703125,3.1875,3.5625,3.25,3.375,3.578125,3.828125,3.65625,3.6875,3.390625,3.90625,3.453125,2.890625,3.46875
3.75,3.421875,4.171875,3.765625,4.265625,3.78125,3.46875,3.75,3.40625,4.078125,4.21875,3.234375,3.65625,4.234375,4.46875,4.34375,3.3125,3.8125
4.015625,4.015625,4.53125,4.078125,4.125,4.296875,4.109375,4.21875,3.71875,4.640625,4.875,3.921875,3.8125,4.0625,4.515625,3.96875,3.625,4.53125
4.78125,4.203125,4.796875,4.359375,5.03125,4.640625,4.453125,4.375,4.078125,4.921875,5.234375,4.6875,4.328125,4.640625,4.6875,4.921875,4.15625,4.953125
4.953125,4.515625,4.890625,4.46875,5.484375,5.515625,5.515625,4.484375,4.5,5.125,5.375,4.734375,4.5,5.25,5.203125,4.90625,4.75,5.453125
5.375,4.703125,5.609375,4.5625,5.5,5.515625,5.40625,4.96875,5.0625,5.421875,5.5625,5.234375,4.875,5.09375,5.265625,5.34375,4.4375,5.828125
5.484375,4.84375,5.71875,4.9375,6.0,5.8125,5.6875,5.15625,5.265625,5.796875,5.953125,4.984375,5.28125,4.890625,5.46875,5.9375,4.796875,6.421875
5.75,5.4375,5.890625,5.40625,6.15625,6.6875,5.546875,5.484375,5.328125,6.703125,5.984375,4.9375,5.46875,5.3125,5.953125,5.71875,5.265625,6.71875
6.0,5.578125,6.5,5.34375,6.46875,7.125,6.28125,6.09375,6.0,8.09375,6.703125,5.390625,6.015625,5.5,5.890625,6.3125,5.671875,7.03125
5.859375,6.046875,6.78125,5.8125,6.734375,6.828125,6.4375,6.375,6.015625,8.234375,6.484375,5.90625,5.90625,5.9375,6.609375,6.4375,5.59375,8.03125
6.46875,5.84375,7.203125,5.875,7.0,7.265625,6.375,6.75,6.25,8.015625,7.046875,5.984375,5.953125,6.5625,6.546875,7.140625,5.890625,7.796875
6.359375,6.09375,8.328125,6.3125,7.6875,7.234375,6.828125,7.125,6.203125,9.0,7.890625,6.578125,6.0625,7.171875,6.484375,6.921875,6.0,8.28125
6.453125,6.734375,7.765625,5.890625,8.46875,7.921875,7.203125,7.765625,6.421875,9.578125,8.53125,6.453125,6.234375,7.28125,6.234375,7.40625,6.34375,8.5625
7.3125,7.265625,7.828125,6.4375,8.375,7.90625,7.65625,8.09375,6.34375,10.0,8.078125,6.859375,6.453125,7.71875,6.375,7.78125,6.4375,8.78125
7.390625,6.90625,8.0,6.4375,9.5,8.046875,7.71875,8.640625,6.203125,10.671875,8.21875,6.984375,6.296875,7.9375,6.953125,7.359375,6.609375,9.1875
7.9375,7.46875,8.09375,6.5625,8.84375,8.5,8.015625,8.453125,7.0625,11.296875,8.96875,7.21875,6.15625,8.265625,7.140625,7.890625,6.640625,9.9375
8.234375,7.765625,7.3125,6.8125,8.984375,9.140625,8.15625,8.5625,7.0625,14.375,9.234375,7.78125,6.359375,8.40625,7.40625,8.59375,6.578125,10.296875
8.6875,7.96875,8.140625,7.609375,9.578125,8.40625,8.359375,9.125,7.9375,16.671875,9.203125,8.5,6.375,8.828125,8.640625,8.796875,6.5625,10.765625
8.78125,8.5625,8.109375,7.75,9.796875,9.265625,8.421875,9.21875,8.1875,17.03125,9.765625,8.984375,6.6875,8.9375,8.890625,8.984375,6.546875,10.671875
8.953125,8.078125,8.328125,8.6875,9.75,8.921875,8.734375,9.34375,8.53125,13.1875,9.78125,8.859375,6.765625,9.15625,10.1875,9.046875,6.734375,10.203125
9.8125,8.65625,8.328125,8.390625,11.421875,9.859375,8.625,10.03125,8.34375,13.515625,9.34375,9.0625,6.734375,9.703125,11.28125,9.53125,6.875,10.53125
9.8125,8.375,8.375,8.875,10.625,10.328125,9.5625,9.828125,9.59375,15.453125,10.40625,9.5625,7.09375,10.28125,12.296875,9.484375,6.65625,11.3125
10.578125,9.59375,8.453125,9.4375,11.75,10.859375,9.9375,10.734375,10.28125,14.75,10.203125,9.03125,7.28125,10.484375,13.4375,9.875,6.6875,11.046875
10.609375,9.8125,8.78125,9.203125,12.171875,11.078125,10.046875,11.546875,10.875,13.078125,10.984375,9.046875,8.140625,10.46875,13.65625,10.453125,6.96875,11.4375
10.84375,10.59375,9.140625,9.84375,12.359375,12.09375,10.984375,12.859375,11.90625,15.109375,10.6875,9.703125,7.8125,10.671875,13.671875,10.09375,6.84375,12.25
11.359375,10.09375,9.234375,11.296875,13.546875,12.171875,11.59375,12.890625,12.765625,15.921875,11.171875,9.375,8.671875,10.75,14.46875,10.65625,6.875,13.0625
11.015625,11.21875,9.875,11.8125,12.828125,12.28125,12.15625,12.125,13.703125,17.8125,11.375,9.78125,8.21875,11.171875,14.984375,11.59375,6.796875,13.734375
11.625,10.6875,10.03125,11.578125,13.578125,13.390625,11.5,13.984375,14.765625,18.640625,11.90625,9.90625,8.078125,11.171875,15.453125,13.09375,6.96875,13.265625
12.125,11.546875,10.171875,12.140625,13.84375,13.6875,12.515625,14.703125,14.375,18.21875,11.59375,10.171875,8.625,11.046875,13.890625,13.203125,6.734375,14.15625
11.71875,11.953125,10.453125,12.8125,13.9375,15.671875,13.15625,15.625,14.96875,17.421875,13.09375,11.171875,8.609375,11.03125,14.78125,12.78125,6.859375,13.8125
12.53125,12.875,10.59375,12.9375,14.125,14.921875,12.015625,15.53125,14.78125,18.0625,13.96875,10.484375,10.890625,10.84375,16.46875,13.171875,6.78125,15.0
13.046875,12.96875,11.234375,13.609375,12.703125,14.265625,12.6875,15.15625,15.140625,20.5,14.984375,11.34375,10.453125,10.921875,13.828125,13.609375,6.859375,16.734375
13.390625,13.625,11.203125,14.359375,13.46875,14.328125,14.171875,16.0,15.03125,20.671875,15.65625,11.875,10.28125,11.515625,15.296875,14.46875,6.921875,18.625
12.71875,14.09375,10.921875,13.703125,13.84375,15.1875,16.671875,15.71875,15.3125,20.671875,16.59375,12.4375,10.90625,11.578125,16.8125,15.796875,6.84375,16.90625
14.75,13.953125,10.703125,15.359375,14.203125,16.0,16.21875,16.734375,15.015625,21.25,17.828125,12.703125,11.34375,11.703125,18.078125,15.40625,6.953125,16.53125
13.890625,14.359375,11.265625,15.953125,14.984375,17.46875,15.125,16.640625,14.484375,20.90625,17.359375,12.796875,10.78125,12.0625,18.921875,13.375,6.765625,17.28125
14.140625,14.515625,11.25,16.125,14.8125,17.234375,16.671875,17.25,15.796875,21.078125,16.984375,14.015625,12.859375,12.71875,19.09375,13.765625,6.796875,17.546875
15.265625,15.21875,11.46875,16.96875,14.859375,16.265625,16.75,19.140625,14.96875,21.203125,17.78125,13.90625,12.453125,12.5,20.875,14.96875,6.84375,17.21875
14.546875,14.46875,11.515625,15.0625,16.765625,17.59375,18.453125,18.28125,15.28125,21.703125,15.578125,14.21875,12.78125,13.015625,21.171875,16.0,6.890625,17.453125
13.890625,15.265625,11.640625,15.90625,15.59375,16.921875,17.578125,17.5,16.984375,22.53125,16.3125,14.40625,12.03125,12.6875,21.625,15.828125,7.0,17.734375
14.015625,15.328125,11.53125,15.28125,15.71875,17.328125,19.375,17.203125,17.015625,22.203125,17.671875,16.625,13.28125,13.15625,21.34375,16.09375,6.96875,19.015625
13.234375,15.03125,11.6875,17.0625,16.125,18.4375,17.828125,19.09375,17.28125,22.1875,18.421875,16.390625,13.40625,13.484375,22.140625,15.484375,6.96875,18.6875
13.65625,16.046875,11.71875,18.5625,17.453125,18.328125,18.15625,21.828125,17.484375,22.0,17.671875,17.59375,13.390625,13.828125,21.5625,15.65625,6.859375,18.5
14.421875,16.796875,12.203125,18.59375,18.703125,18.578125,19.296875,21.28125,17.078125,21.46875,19.171875,17.203125,14.140625,13.96875,21.21875,15.71875,6.953125,18.546875
14.296875,17.234375,11.90625,17.875,19.703125,18.65625,18.515625,21.5625,17.96875,22.0,19.8125,17.46875,15.265625,13.359375,23.125,16.125,6.9375,18.53125
15.5,17.625,12.109375,17.609375,20.953125,19.859375,17.84375,20.875,18.046875,22.140625,19.1875,19.8125,15.3125,13.953125,23.15625,15.609375,6.953125,18.421875
15.453125,17.59375,12.234375,18.65625,19.265625,20.8125,19.609375,22.5,18.484375,21.9375,19.125,19.328125,15.390625,13.5,23.828125,16.25,6.921875,18.75
14.96875,17.90625,12.15625,20.34375,19.546875,20.125,21.171875,22.125,18.9375,21.90625,20.140625,19.40625,15.890625,13.421875,24.625,16.34375,6.796875,18.703125
15.796875,18.671875,12.515625,20.296875,24.328125,20.453125,20.921875,20.9375,18.8125,22.03125,20.640625,19.265625,17.140625,13.953125,24.21875,16.546875,6.9375,18.28125
16.5625,18.03125,12.125,20.078125,24.921875,20.140625,21.953125,21.03125,16.765625,22.421875,20.703125,17.625,17.015625,14.4375,24.046875,16.265625,6.84375,19.4375
16.140625,18.4375,12.59375,19.640625,27.546875,20.03125,20.046875,21.609375,17.484375,22.4375,20.8125,18.203125,17.171875,14.828125,24.40625,16.6875,7.0,20.140625
15.953125,18.734375,12.3125,19.375,30.21875,20.5,20.65625,20.484375,19.1875,21.765625,20.734375,19.34375,17.171875,14.734375,24.140625,16.75,6.921875,21.546875
17.359375,18.953125,12.796875,19.734375,29.15625,19.96875,21.125,21.234375,19.609375,21.4375,20.109375,19.90625,16.59375,15.96875,23.109375,16.28125,6.984375,20.96875
