0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.453125,0.328125,0.40625,0.46875,0.40625,0.40625,0.375,0.421875,0.40625,0.46875,0.5,0.34375,0.4375,0.40625,0.359375,0.390625,0.34375,0.40625
0.546875,0.484375,0.53125,0.375,0.53125,0.46875,0.46875,0.5,0.46875,0.53125,0.421875,0.375,0.53125,0.328125,0.375,0.4375,0.421875,0.515625
0.65625,0.4375,0.5,0.578125,0.609375,0.546875,0.59375,0.671875,0.734375,0.671875,0.65625,0.421875,0.578125,0.578125,0.546875,0.78125,0.53125,0.71875
0.90625,0.53125,0.75,0.578125,1.0,0.8125,0.890625,0.734375,0.84375,0.578125,0.890625,0.5625,0.75,0.765625,0.8125,1.0,0.75,1.046875
1.3125,1.0,1.1875,0.796875,1.125,1.140625,1.046875,0.953125,1.0625,1.109375,1.203125,0.828125,0.875,0.984375,0.96875,1.078125,0.921875,1.40625
1.46875,1.375,1.328125,1.25,1.5,1.3125,1.84375,1.078125,1.265625,1.296875,1.734375,1.453125,1.265625,1.21875,1.265625,1.390625,1.09375,1.40625
1.484375,1.9375,1.453125,1.53125,2.0,1.453125,1.9375,1.609375,1.90625,1.4375,1.640625,1.25,2.140625,1.34375,1.671875,1.578125,1.234375,2.0625
2.140625,2.0,2.34375,2.21875,2.28125,1.921875,1.625,1.625,1.8125,2.125,2.09375,2.078125,2.1875,1.84375,1.921875,2.015625,1.828125,1.953125
2.203125,2.09375,2.375,2.515625,3.046875,2.203125,2.609375,2.15625,2.15625,2.34375,2.5,2.0,2.28125,1.828125,1.703125,1.828125,1.796875,2.84375
2.421875,2.4375,2.546875,2.5,3.21875,2.765625,2.671875,2.625,2.421875,2.671875,2.09375,2.359375,2.140625,2.359375,2.546875,2.53125,1.78125,2.46875
3.25,2.734375,2.90625,2.828125,3.421875,2.609375,3.328125,2.578125,2.5,2.609375,2.84375,2.5625,2.6875,2.875,3.234375,2.625,2.296875,2.96875
3.625,2.609375,2.921875,2.71875,3.0,3.109375,3.484375,2.71875,2.875,3.015625,2.75,3.140625,2.921875,2.984375,3.40625,2.953125,2.328125,2.890625
2.921875,3.015625,3.453125,3.28125,3.546875,3.46875,3.71875,2.875,3.546875,2.984375,3.390625,3.078125,3.125,3.328125,3.578125,3.296875,2.71875,3.484375
4.03125,3.28125,3.390625,3.078125,3.796875,3.28125,3.890625,3.046875,3.46875,3.328125,3.5625,3.546875,3.015625,3.734375,4.109375,3.453125,3.203125,3.875
3.75,3.609375,3.796875,3.703125,4.078125,3.34375,3.90625,3.453125,3.71875,3.40625,3.828125,3.5,3.40625,3.203125,3.8125,3.53125,3.234375,3.96875
3.921875,3.6875,3.609375,3.703125,4.359375,3.6875,4.125,3.921875,4.0625,3.875,3.390625,3.9375,3.09375,3.96875,4.140625,3.625,3.921875,4.234375
3.09375,4.15625,3.90625,4.203125,4.21875,4.34375,4.0625,4.3125,4.40625,3.953125,3.625,4.03125,3.546875,3.984375,4.21875,3.515625,3.484375,4.84375
3.453125,3.9375,3.609375,4.046875,4.9375,4.734375,3.96875,4.609375,4.3125,4.359375,3.796875,4.09375,4.578125,4.140625,4.71875,3.953125,3.859375,4.65625
3.53125,3.984375,3.65625,4.421875,5.21875,4.671875,4.953125,4.8125,4.734375,4.546875,3.40625,4.03125,4.234375,4.828125,4.984375,4.015625,4.109375,4.8125
4.546875,4.265625,3.8125,4.734375,5.296875,5.25,5.125,4.78125,4.21875,4.609375,3.890625,4.75,4.375,4.75,4.484375,4.171875,4.1875,4.21875
4.625,4.765625,4.375,5.140625,5.359375,5.015625,4.828125,4.5625,4.859375,4.78125,3.78125,4.859375,4.734375,5.265625,5.5,4.25,3.890625,5.34375
4.234375,4.609375,4.59375,4.9375,5.84375,5.078125,5.171875,4.6875,5.1875,4.96875,4.453125,5.34375,5.046875,5.078125,5.359375,4.5625,4.734375,5.6875
5.0,5.1875,4.96875,5.359375,6.046875,5.578125,5.15625,4.90625,5.203125,5.171875,4.453125,4.953125,4.453125,5.140625,4.9375,5.234375,5.03125,6.484375
