0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2751265,0.34158763,0.15569854,0.26774472,0.33383018,0.41792077,0.5343102,0.08828987,0.25426704,0.17483598,0.2534467,0.27189726,0.61436254,0.60519457,0.16730185,0.16904362,0.34785414,0.25170755
8.474121,10.836693,6.858918,8.087801,9.916708,9.915406,9.875704,7.2042084,11.818372,7.9066744,12.952239,9.29583,9.818771,6.7045293,7.835205,7.875578,12.681774,6.910291
55.741135,61.759598,48.830414,54.097668,55.388084,57.009945,58.58692,47.31019,63.783974,46.223988,64.41077,53.473675,54.272392,45.426094,57.325596,53.36989,70.749954,54.4538
142.8435,149.35233,133.74362,139.65689,139.29286,146.99713,148.2297,129.97241,153.67099,127.75387,153.27878,139.02364,139.18594,127.96762,143.06552,142.52625,158.78662,146.37027
224.96658,230.40958,215.7851,216.16484,223.9079,224.33151,222.54422,214.06207,223.29102,212.66774,231.79645,218.04324,221.62006,209.25616,222.55354,220.14877,231.81253,224.9797
273.15128,275.23514,271.26544,270.90143,274.60388,272.23447,269.29248,270.72546,270.73877,271.40997,272.97272,270.29468,273.87964,261.44293,267.55194,271.98123,275.68875,273.2918
297.787,297.13126,300.34573,296.56433,297.23676,295.40277,294.63608,299.82452,293.48834,299.98904,293.3927,296.30713,297.6061,294.2975,293.40613,296.1585,293.89612,296.26285
311.45554,305.4605,313.90686,312.1493,307.84674,307.37842,307.02667,313.29156,304.47156,314.00873,302.66846,308.27197,312.2516,311.016,306.4143,307.54822,302.281,307.53906
315.95685,310.41937,320.6236,317.57806,313.77252,314.42334,313.2868,320.87616,311.66516,321.9303,308.60156,315.05872,317.83826,321.6244,314.16052,313.8992,304.8556,311.56833
321.57794,313.5352,327.36218,321.66623,319.35712,319.78156,319.29938,324.78333,317.0465,327.73422,311.75485,319.64386,322.36127,330.27853,319.21753,319.32135,307.43924,314.04108
327.78375,316.62506,332.0913,327.01746,323.75,326.2596,323.95743,328.19638,323.29102,333.08923,316.1952,323.74228,325.7807,339.36264,324.59232,324.2824,308.8227,315.56165
332.05566,317.91705,336.2306,331.47202,328.54742,328.96295,330.08932,330.09235,328.56128,337.05774,320.1996,328.5171,328.02188,346.24103,328.30682,329.71902,310.62372,317.5395
335.58185,319.72113,339.1572,335.86502,331.62738,333.36633,336.21765,330.10965,332.60162,340.2959,323.3991,332.65384,329.9837,350.96338,330.94855,332.48083,311.82068,318.09747
337.81482,321.32742,342.0059,338.7755,336.84058,333.46613,340.5229,331.57672,335.7674,344.1215,326.54022,336.79474,331.71448,354.92706,333.7571,335.0594,312.10004,318.79373
340.16254,323.58386,344.78378,342.8493,340.92816,334.75146,344.7915,334.2719,339.31302,346.63333,329.80234,339.52573,332.13623,359.40338,335.7614,337.96326,314.8957,319.56036
342.97308,325.7746,347.01477,346.6845,345.28088,337.61182,348.7506,336.26746,341.84296,348.80515,333.94162,342.53275,334.26276,362.37524,336.18494,341.17554,317.74738,320.88336
347.575,328.16522,348.90564,349.33994,348.3709,339.84473,352.59818,338.9796,345.1753,352.4735,337.82056,346.48242,337.93927,363.96234,337.21457,344.47543,321.79944,322.0839
352.4579,332.94,351.5287,355.2525,352.21533,341.00232,356.74506,343.2522,347.25427,354.67136,341.47577,349.76154,343.70673,367.86688,338.9333,346.38174,326.4874,324.4158
356.67285,338.89233,354.09344,360.78815,357.35278,342.1142,361.72064,346.57336,350.0011,355.72116,344.4417,354.94943,351.00543,370.04034,339.76764,347.67935,332.91782,326.14957
360.1705,345.05258,356.2796,365.3838,362.16962,344.37097,364.40704,349.35272,350.04077,357.64987,347.74347,359.88324,357.84042,373.1656,339.92566,349.72864,337.96582,328.9198
363.75186,351.32352,356.46436,372.85742,368.23553,346.77625,366.53955,351.77634,351.90994,357.98688,350.7889,365.91864,365.98248,375.5028,342.36737,350.2356,345.0757,331.85748
365.97656,358.86145,359.04034,381.08014,375.20187,348.44147,367.73798,353.32037,353.03464,358.97205,353.2603,370.91153,373.25085,376.53836,345.66907,350.64105,351.18954,336.0004
369.45044,365.18207,359.90604,389.0346,382.52136,351.33813,368.8816,355.77536,355.20605,361.07318,356.71246,377.2046,379.57007,378.1972,349.22556,351.3816,359.37006,339.65735
373.10605,372.6372,361.92755,394.3583,388.56372,353.34204,371.6539,357.2304,358.3108,362.50494,360.4848,381.09442,384.2974,379.44183,352.28284,354.336,366.52643,344.98334
375.32053,377.1104,363.9206,400.45038,394.9298,357.7141,372.94833,360.6295,361.42865,364.0666,364.7275,386.98413,388.43793,381.35614,356.06573,357.46838,375.45026,348.71338
378.59235,383.6637,366.77264,407.13965,402.26172,362.96365,373.68753,364.99576,364.46252,368.10834,369.95343,391.1571,393.63663,383.15564,361.90897,362.19846,384.256,353.20468
382.6928,388.98663,370.85217,413.61472,407.58142,370.1084,376.05847,369.12555,368.87988,372.41748,375.67993,395.48798,397.89328,386.7406,369.73865,369.52924,392.22717,357.8963
387.65143,395.94363,375.1458,420.6304,413.98364,375.61325,378.51538,374.7433,375.0,377.63647,381.7115,401.14917,401.04694,389.4254,376.18945,376.0291,398.8479,361.90485
392.87766,403.93317,380.60226,426.8355,422.22998,382.71368,381.88647,380.00854,380.25616,383.1693,388.34253,403.82318,404.8053,393.5619,383.2623,382.10468,406.00784,366.78204
397.88977,411.17102,387.04224,433.31152,431.61594,391.0871,386.78607,385.39478,384.87506,388.63898,394.6454,408.65698,406.96906,397.10245,391.13324,388.7256,413.2221,372.12454
403.19495,419.34344,393.43506,438.04333,438.85947,399.1869,391.27832,391.4111,389.33,395.13745,402.35883,413.4288,410.25452,402.37796,399.5011,397.59857,419.1586,375.0419
409.80463,425.30615,400.1726,444.62885,447.85742,408.62476,396.14752,396.99527,393.84033,402.06958,409.33038,418.32822,412.5583,407.4801,409.8568,407.10236,425.911,379.78766
414.15976,433.00757,408.64243,451.1427,455.4816,416.99634,402.2973,404.03116,400.0395,410.4392,418.10794,424.02032,416.90186,412.76117,419.1598,413.84836,432.34384,383.71936
419.4261,443.1446,415.91083,458.5812,463.71616,425.52652,407.96518,412.03345,407.61087,417.92957,425.78857,429.53937,421.05713,418.15952,430.4882,424.24936,437.42017,387.6832
427.47903,449.1979,426.2074,464.9139,471.68918,435.38544,413.96912,420.46808,413.31122,424.3266,431.72128,434.01993,426.22794,422.8275,439.9683,435.3802,444.1391,393.99094
431.8259,455.68768,436.6955,471.93997,478.5312,444.27228,421.6982,429.9358,422.24164,435.0929,440.97937,439.03964,430.44897,427.5558,449.18695,444.97217,450.38803,399.91125
