0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1239.5164,-1275.3103,-1294.8218,-1252.215,-1252.3147,-1162.719,-1258.6171,-1202.4166,-1209.9534,-1266.6315,-1210.7697,-1251.7839,-1242.3438,-1184.3665,-1166.2117,-1255.0247,-1214.8303,-1287.3755
-1139.72,-1230.4622,-1221.4053,-1165.1259,-1149.5706,-1179.8711,-1217.9446,-1194.5154,-1197.4978,-1099.416,-1159.359,-1134.5364,-1219.6033,-1145.9487,-1239.8047,-1184.4763,-1215.0177,-1219.2097
-1161.3035,-1131.1084,-1171.3182,-1146.2812,-1234.397,-1191.3368,-1172.123,-1304.9395,-1113.9883,-1133.2994,-1156.2898,-1162.6323,-1165.177,-1197.3243,-1227.3442,-1254.4019,-1165.5623,-1189.3411
-1175.538,-1163.929,-1138.9248,-1102.1919,-1182.618,-1184.1058,-1172.2358,-1235.3032,-1211.2861,-1234.8362,-1149.9474,-1179.68,-1220.0471,-1154.9641,-1201.5525,-1196.0144,-1209.5255,-1146.2274
-1138.917,-1198.346,-1156.9271,-1218.4164,-1120.5712,-1165.6193,-1120.7664,-1095.6636,-1132.3918,-1155.6123,-1225.2358,-1157.7622,-1168.7489,-1224.7013,-1214.3403,-1152.6968,-1143.4132,-1167.4796
-1192.5963,-1164.7117,-1131.8431,-1168.554,-1223.2979,-1154.1555,-1237.1206,-1190.7043,-1177.9161,-1192.8212,-1128.211,-1118.2378,-1147.0515,-1191.5768,-1219.4858,-1116.1956,-1162.1539,-1112.8419
-1106.4004,-1114.3318,-1092.0232,-1148.1835,-1140.7272,-1123.4006,-1138.0049,-1128.7501,-1117.2771,-1118.3301,-1206.8816,-1137.6461,-1074.143,-1141.7773,-1165.7643,-1150.274,-1201.304,-1176.4922
-1123.8562,-1213.549,-1119.4529,-1231.7952,-1144.0568,-1113.1875,-1104.2759,-1092.1165,-1075.944,-1070.8369,-1145.3319,-1127.008,-1133.3407,-1222.7185,-1220.0527,-1088.7129,-1121.3882,-1074.435
-1144.9729,-1109.5996,-1136.2002,-1151.376,-1070.4363,-1103.9783,-1079.7155,-1197.8735,-1071.8418,-1117.3965,-1178.8486,-1168.4065,-1122.4098,-1146.2051,-1168.9773,-1168.2281,-1181.5267,-1115.2103
-1144.8602,-1139.8474,-1096.1647,-1093.7261,-1128.144,-1080.9177,-1062.4219,-1164.1108,-1177.6084,-1133.1102,-1146.5555,-1050.0095,-1097.5676,-1149.5011,-1154.6213,-1147.373,-1150.0316,-1136.9575
-1141.4648,-1109.6987,-1093.1803,-1099.1366,-1191.6465,-1088.5728,-1068.9177,-1131.2181,-1133.9036,-1144.2046,-1088.2281,-1104.7961,-1074.1753,-1189.1725,-1156.0419,-1079.885,-1100.2976,-1119.407
-1094.0352,-1118.4602,-1187.3607,-1132.873,-1159.5162,-1124.176,-1135.9213,-1056.9968,-1111.0002,-1135.5752,-1170.0007,-1072.1428,-1076.7258,-1095.8994,-1150.5559,-1112.4622,-1174.1709,-1125.1877
-1129.7833,-1097.3033,-1064.2726,-1093.8217,-1141.1195,-1076.5387,-1069.2108,-1086.1716,-1105.0308,-1051.9373,-1175.8223,-1054.151,-1038.2966,-1109.4592,-1077.1915,-1144.9553,-1143.539,-1076.6191
-1071.2078,-1126.5427,-1140.6819,-1079.1252,-1189.6416,-1082.447,-1055.1614,-1074.9688,-1087.1929,-1154.5074,-1179.1804,-1122.399,-1048.9187,-1091.621,-1109.9586,-1131.4651,-1101.175,-1049.3988
-1131.3483,-1115.1792,-1093.106,-1063.1318,-1128.9872,-1037.3081,-1149.9437,-1031.9169,-1075.0745,-1134.2354,-1082.2112,-1068.9282,-1044.242,-1080.0425,-1074.7849,-1179.3981,-1138.562,-1080.9543
