0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1239.5164,-1275.3103,-1294.8218,-1252.215,-1252.3147,-1162.719,-1258.6171,-1202.4166,-1209.9534,-1266.6315,-1210.7697,-1251.7839,-1242.3438,-1184.3665,-1166.2117,-1255.0247,-1214.8303,-1287.3755
-1173.9622,-1208.4587,-1212.8462,-1141.44,-1134.8438,-1173.0295,-1245.9814,-1189.7113,-1189.0804,-1124.9309,-1154.1687,-1121.9298,-1233.5918,-1149.7255,-1244.821,-1211.7937,-1197.8359,-1224.2136
-1233.6348,-1127.3667,-1139.1852,-1138.0142,-1197.3381,-1223.8394,-1178.281,-1309.7894,-1113.7906,-1142.8953,-1191.1858,-1175.5742,-1184.6515,-1157.9625,-1282.3333,-1203.5577,-1164.5367,-1221.6533
-1195.86,-1128.6957,-1122.3698,-1124.367,-1161.9631,-1161.251,-1221.1997,-1228.63,-1219.4446,-1199.4197,-1144.688,-1162.156,-1241.3816,-1169.0464,-1194.0149,-1156.8279,-1163.3682,-1141.9695
-1159.5298,-1176.1746,-1166.6368,-1224.794,-1130.4258,-1177.9629,-1143.6577,-1097.3907,-1129.2795,-1156.093,-1228.0454,-1157.0482,-1162.3892,-1173.5254,-1205.6968,-1139.1025,-1130.9126,-1189.017
-1231.8344,-1151.1252,-1147.6895,-1157.6511,-1250.4221,-1177.7065,-1220.2682,-1216.0198,-1193.7697,-1177.0393,-1132.67,-1119.8662,-1153.847,-1192.1809,-1167.553,-1126.0596,-1141.8994,-1128.8376
-1130.4219,-1094.6731,-1095.0978,-1107.6145,-1138.0383,-1133.0122,-1112.7615,-1141.9309,-1117.3738,-1134.0826,-1184.4729,-1132.9294,-1100.0521,-1178.1301,-1145.1287,-1140.3184,-1247.7147,-1205.5608
-1149.8079,-1215.0283,-1124.9854,-1209.3058,-1126.5114,-1128.474,-1083.6705,-1066.28,-1090.7063,-1112.8413,-1149.4976,-1133.3613,-1192.5708,-1230.2118,-1175.5312,-1093.272,-1162.8335,-1118.0616
-1157.8308,-1106.3013,-1140.0115,-1132.6404,-1105.9402,-1110.8977,-1068.3883,-1172.7712,-1076.2488,-1143.8628,-1130.6006,-1211.39,-1144.5298,-1132.7095,-1138.4209,-1147.792,-1184.511,-1107.3652
-1128.586,-1135.5281,-1087.3921,-1081.7437,-1161.0282,-1112.6948,-1102.1746,-1115.7587,-1137.7719,-1159.1453,-1113.335,-1098.6603,-1152.885,-1188.6287,-1165.8245,-1170.4255,-1167.3552,-1145.4955
