0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3.875,3.53125,3.265625,3.75,3.578125,3.453125,3.8125,4.0625,3.875,3.5625,4.140625,3.515625,3.75,4.0625,3.609375,3.65625,3.609375,4.078125
4.453125,4.5625,4.03125,4.78125,4.3125,4.578125,4.5625,5.078125,5.109375,3.625,4.71875,4.515625,4.171875,4.609375,4.234375,5.140625,4.03125,4.015625
5.109375,5.515625,4.71875,4.8125,4.921875,4.890625,4.765625,4.515625,5.53125,4.40625,5.046875,5.125,6.328125,4.6875,4.8125,5.328125,4.78125,4.46875
5.484375,4.3125,5.296875,5.453125,5.046875,5.296875,5.78125,6.359375,5.640625,5.3125,4.84375,5.171875,5.09375,5.078125,5.640625,5.28125,5.1875,5.375
4.609375,4.78125,5.546875,5.703125,5.265625,5.15625,6.390625,5.046875,5.125,5.59375,6.0,5.4375,5.609375,5.609375,5.65625,5.796875,5.75,5.609375
4.34375,5.109375,6.609375,5.796875,5.015625,4.90625,6.234375,6.125,5.65625,5.65625,6.3125,5.546875,5.84375,4.59375,6.296875,6.359375,5.9375,6.125
5.28125,5.703125,6.5,6.09375,5.28125,6.359375,5.671875,5.625,4.796875,5.59375,5.671875,5.84375,7.15625,5.34375,5.5625,6.375,6.234375,5.609375
5.03125,5.484375,6.6875,6.078125,5.234375,6.75,6.53125,6.546875,5.625,5.953125,5.921875,6.046875,6.734375,5.59375,5.5625,7.578125,5.296875,7.390625
5.3125,5.15625,5.234375,6.921875,5.4375,6.484375,6.234375,7.484375,5.171875,6.140625,6.28125,6.953125,6.046875,6.65625,7.265625,7.484375,7.921875,6.03125
5.359375,5.796875,6.03125,6.734375,6.65625,7.3125,7.078125,8.765625,5.0,7.03125,6.4375,6.640625,5.953125,6.46875,6.8125,8.9375,6.140625,7.578125
5.109375,5.21875,7.625,7.25,6.4375,6.953125,6.9375,8.21875,5.828125,7.25,5.75,8.015625,6.015625,6.203125,5.859375,9.859375,6.703125,7.734375
6.4375,5.671875,8.25,8.59375,5.390625,8.28125,6.828125,7.640625,5.234375,7.703125,6.109375,8.296875,6.84375,5.875,6.640625,9.578125,6.9375,7.359375
6.515625,6.328125,7.75,10.71875,5.578125,7.59375,7.40625,9.0,5.921875,8.359375,6.828125,8.484375,6.90625,8.59375,6.515625,11.09375,8.8125,7.078125
6.65625,5.65625,8.1875,10.390625,5.6875,8.484375,7.046875,9.40625,5.515625,8.625,6.65625,7.40625,6.578125,8.625,5.90625,11.046875,7.921875,7.46875
6.28125,5.984375,6.203125,9.84375,4.984375,9.53125,7.5625,9.9375,5.15625,9.546875,7.296875,8.25,7.109375,9.09375,6.515625,11.15625,8.828125,8.28125
6.96875,5.859375,6.046875,11.953125,6.109375,9.8125,8.515625,9.21875,5.078125,9.203125,6.46875,8.375,7.328125,7.609375,6.609375,14.09375,9.59375,9.625
6.59375,6.265625,5.015625,11.1875,6.9375,11.671875,9.546875,9.625,6.09375,9.625,6.421875,9.765625,6.703125,9.171875,7.9375,12.109375,9.1875,10.3125
6.828125,5.40625,5.53125,12.125,6.828125,11.9375,9.109375,11.453125,5.53125,11.3125,7.53125,9.4375,8.484375,9.53125,7.234375,14.5,10.34375,12.578125
6.125,5.234375,6.125,12.046875,7.328125,11.4375,10.390625,10.0625,6.296875,10.765625,6.609375,11.125,8.375,7.4375,8.171875,13.359375,11.171875,10.1875
